Model Point Number,Policy.type,Issue.year,Issue.age,Sex,Face.amount,Smoker.Status,Underwriting.Class,Distribution.Channel
1,T20,2024,26,F,50000,NS,high risk,Agent
2,T20,2024,27,F,50000,NS,high risk,Agent
3,T20,2024,28,F,50000,NS,high risk,Agent
4,T20,2024,29,F,50000,NS,high risk,Agent
5,T20,2024,30,F,50000,NS,high risk,Agent
6,T20,2024,31,F,50000,NS,high risk,Agent
7,T20,2024,32,F,50000,NS,high risk,Agent
8,T20,2024,33,F,50000,NS,high risk,Agent
9,T20,2024,34,F,50000,NS,high risk,Agent
10,T20,2024,35,F,50000,NS,high risk,Agent
11,T20,2024,36,F,50000,NS,high risk,Agent
12,T20,2024,37,F,50000,NS,high risk,Agent
13,T20,2024,38,F,50000,NS,high risk,Agent
14,T20,2024,39,F,50000,NS,high risk,Agent
15,T20,2024,40,F,50000,NS,high risk,Agent
16,T20,2024,41,F,50000,NS,high risk,Agent
17,T20,2024,42,F,50000,NS,high risk,Agent
18,T20,2024,43,F,50000,NS,high risk,Agent
19,T20,2024,44,F,50000,NS,high risk,Agent
20,T20,2024,45,F,50000,NS,high risk,Agent
21,T20,2024,46,F,50000,NS,high risk,Agent
22,T20,2024,47,F,50000,NS,high risk,Agent
23,T20,2024,48,F,50000,NS,high risk,Agent
24,T20,2024,49,F,50000,NS,high risk,Agent
25,T20,2024,50,F,50000,NS,high risk,Agent
26,T20,2024,51,F,50000,NS,high risk,Agent
27,T20,2024,52,F,50000,NS,high risk,Agent
28,T20,2024,53,F,50000,NS,high risk,Agent
29,T20,2024,54,F,50000,NS,high risk,Agent
30,T20,2024,55,F,50000,NS,high risk,Agent
31,T20,2024,26,F,50000,NS,high risk,Agent
32,T20,2024,27,F,50000,NS,high risk,Agent
33,T20,2024,28,F,50000,NS,high risk,Agent
34,T20,2024,29,F,50000,NS,high risk,Agent
35,T20,2024,30,F,50000,NS,high risk,Agent
36,T20,2024,31,F,50000,NS,high risk,Agent
37,T20,2024,32,F,50000,NS,high risk,Agent
38,T20,2024,33,F,50000,NS,high risk,Agent
39,T20,2024,34,F,50000,NS,high risk,Agent
40,T20,2024,35,F,50000,NS,high risk,Agent
41,T20,2024,36,F,50000,NS,high risk,Agent
42,T20,2024,37,F,50000,NS,high risk,Agent
43,T20,2024,38,F,50000,NS,high risk,Agent
44,T20,2024,39,F,50000,NS,high risk,Agent
45,T20,2024,40,F,50000,NS,high risk,Agent
46,T20,2024,41,F,50000,NS,high risk,Agent
47,T20,2024,42,F,50000,NS,high risk,Agent
48,T20,2024,43,F,50000,NS,high risk,Agent
49,T20,2024,44,F,50000,NS,high risk,Agent
50,T20,2024,45,F,50000,NS,high risk,Agent
51,T20,2024,46,F,50000,NS,high risk,Agent
52,T20,2024,47,F,50000,NS,high risk,Agent
53,T20,2024,48,F,50000,NS,high risk,Agent
54,T20,2024,49,F,50000,NS,high risk,Agent
55,T20,2024,50,F,50000,NS,high risk,Agent
56,T20,2024,51,F,50000,NS,high risk,Agent
57,T20,2024,52,F,50000,NS,high risk,Agent
58,T20,2024,53,F,50000,NS,high risk,Agent
59,T20,2024,54,F,50000,NS,high risk,Agent
60,T20,2024,55,F,50000,NS,high risk,Agent
61,T20,2024,26,F,50000,NS,high risk,Agent
62,T20,2024,27,F,50000,NS,high risk,Agent
63,T20,2024,28,F,50000,NS,high risk,Agent
64,T20,2024,29,F,50000,NS,high risk,Agent
65,T20,2024,30,F,50000,NS,high risk,Agent
66,T20,2024,31,F,50000,NS,high risk,Agent
67,T20,2024,32,F,50000,NS,high risk,Agent
68,T20,2024,33,F,50000,NS,high risk,Agent
69,T20,2024,34,F,50000,NS,high risk,Agent
70,T20,2024,35,F,50000,NS,high risk,Agent
71,T20,2024,36,F,50000,NS,high risk,Agent
72,T20,2024,37,F,50000,NS,high risk,Agent
73,T20,2024,38,F,50000,NS,high risk,Agent
74,T20,2024,39,F,50000,NS,high risk,Agent
75,T20,2024,40,F,50000,NS,high risk,Agent
76,T20,2024,41,F,50000,NS,high risk,Agent
77,T20,2024,42,F,50000,NS,high risk,Agent
78,T20,2024,43,F,50000,NS,high risk,Agent
79,T20,2024,44,F,50000,NS,high risk,Agent
80,T20,2024,45,F,50000,NS,high risk,Agent
81,T20,2024,46,F,50000,NS,high risk,Agent
82,T20,2024,47,F,50000,NS,high risk,Agent
83,T20,2024,48,F,50000,NS,high risk,Agent
84,T20,2024,49,F,50000,NS,high risk,Agent
85,T20,2024,50,F,50000,NS,high risk,Agent
86,T20,2024,51,F,50000,NS,high risk,Agent
87,T20,2024,52,F,50000,NS,high risk,Agent
88,T20,2024,53,F,50000,NS,high risk,Agent
89,T20,2024,54,F,50000,NS,high risk,Agent
90,T20,2024,55,F,50000,NS,high risk,Agent
91,T20,2024,26,F,50000,NS,high risk,Agent
92,T20,2024,27,F,50000,NS,high risk,Agent
93,T20,2024,28,F,50000,NS,high risk,Agent
94,T20,2024,29,F,50000,NS,high risk,Agent
95,T20,2024,30,F,50000,NS,high risk,Agent
96,T20,2024,31,F,50000,NS,high risk,Agent
97,T20,2024,32,F,50000,NS,high risk,Agent
98,T20,2024,33,F,50000,NS,high risk,Agent
99,T20,2024,34,F,50000,NS,high risk,Online
100,T20,2024,35,F,50000,NS,high risk,Online
101,T20,2024,36,F,50000,NS,high risk,Online
102,T20,2024,37,F,50000,NS,high risk,Online
103,T20,2024,38,F,50000,NS,high risk,Online
104,T20,2024,39,F,50000,NS,high risk,Online
105,T20,2024,40,F,50000,NS,high risk,Online
106,T20,2024,41,F,50000,NS,high risk,Online
107,T20,2024,42,F,50000,NS,high risk,Online
108,T20,2024,43,F,50000,NS,high risk,Online
109,T20,2024,44,F,50000,NS,high risk,Online
110,T20,2024,45,F,50000,NS,high risk,Online
111,T20,2024,46,F,50000,NS,high risk,Online
112,T20,2024,47,F,50000,NS,high risk,Online
113,T20,2024,48,F,50000,NS,high risk,Online
114,T20,2024,49,F,50000,NS,high risk,Online
115,T20,2024,50,F,50000,NS,high risk,Online
116,T20,2024,51,F,50000,NS,high risk,Online
117,T20,2024,52,F,50000,NS,high risk,Online
118,T20,2024,53,F,50000,NS,high risk,Online
119,T20,2024,54,F,50000,NS,high risk,Online
120,T20,2024,55,F,50000,NS,high risk,Online
121,T20,2024,26,F,50000,NS,high risk,Online
122,T20,2024,27,F,50000,NS,high risk,Online
123,T20,2024,28,F,50000,NS,high risk,Online
124,T20,2024,29,F,50000,NS,high risk,Online
125,T20,2024,30,F,50000,NS,high risk,Online
126,T20,2024,31,F,50000,NS,high risk,Online
127,T20,2024,32,F,50000,NS,high risk,Online
128,T20,2024,33,F,50000,NS,high risk,Online
129,T20,2024,34,F,50000,NS,high risk,Online
130,T20,2024,35,F,50000,NS,high risk,Online
131,T20,2024,36,F,50000,NS,high risk,Online
132,T20,2024,37,F,50000,NS,high risk,Online
133,T20,2024,38,F,50000,NS,high risk,Online
134,T20,2024,39,F,50000,NS,high risk,Online
135,T20,2024,40,F,50000,NS,high risk,Online
136,T20,2024,41,F,50000,NS,high risk,Online
137,T20,2024,42,F,50000,NS,high risk,Online
138,T20,2024,43,F,50000,NS,high risk,Online
139,T20,2024,44,F,50000,NS,high risk,Online
140,T20,2024,45,F,50000,NS,high risk,Online
141,T20,2024,46,F,50000,NS,high risk,Online
142,T20,2024,47,F,50000,NS,high risk,Online
143,T20,2024,48,F,50000,NS,high risk,Online
144,T20,2024,49,F,50000,NS,high risk,Online
145,T20,2024,50,F,50000,NS,high risk,Online
146,T20,2024,51,F,50000,NS,high risk,Online
147,T20,2024,52,F,50000,NS,high risk,Online
148,T20,2024,53,F,50000,NS,high risk,Online
149,T20,2024,54,F,50000,NS,high risk,Online
150,T20,2024,55,F,50000,NS,high risk,Online
151,T20,2024,26,F,50000,NS,high risk,Online
152,T20,2024,27,F,50000,NS,high risk,Online
153,T20,2024,28,F,50000,NS,high risk,Online
154,T20,2024,29,F,50000,NS,high risk,Online
155,T20,2024,30,F,50000,NS,high risk,Online
156,T20,2024,31,F,50000,NS,high risk,Online
157,T20,2024,32,F,50000,NS,high risk,Online
158,T20,2024,33,F,50000,NS,high risk,Online
159,T20,2024,34,F,50000,NS,high risk,Online
160,T20,2024,35,F,50000,NS,high risk,Online
161,T20,2024,36,F,50000,NS,high risk,Online
162,T20,2024,37,F,50000,NS,high risk,Online
163,T20,2024,38,F,50000,NS,high risk,Online
164,T20,2024,39,F,50000,NS,high risk,Online
165,T20,2024,40,F,50000,NS,high risk,Online
166,T20,2024,41,F,50000,NS,high risk,Online
167,T20,2024,42,F,50000,NS,high risk,Online
168,T20,2024,43,F,50000,NS,high risk,Online
169,T20,2024,44,F,50000,NS,high risk,Online
170,T20,2024,45,F,50000,NS,high risk,Online
171,T20,2024,46,F,50000,NS,high risk,Online
172,T20,2024,47,F,50000,NS,high risk,Online
173,T20,2024,48,F,50000,NS,high risk,Online
174,T20,2024,49,F,50000,NS,high risk,Online
175,T20,2024,50,F,50000,NS,high risk,Online
176,T20,2024,51,F,50000,NS,high risk,Online
177,T20,2024,52,F,50000,NS,high risk,Online
178,T20,2024,53,F,50000,NS,high risk,Online
179,T20,2024,54,F,50000,NS,high risk,Online
180,T20,2024,55,F,50000,NS,high risk,Online
181,T20,2024,26,F,50000,NS,high risk,Online
182,T20,2024,27,F,50000,NS,high risk,Online
183,T20,2024,28,F,50000,NS,high risk,Online
184,T20,2024,29,F,50000,NS,high risk,Online
185,T20,2024,30,F,50000,NS,high risk,Online
186,T20,2024,31,F,50000,NS,high risk,Online
187,T20,2024,32,F,50000,NS,high risk,Online
188,T20,2024,33,F,50000,NS,high risk,Online
189,T20,2024,34,F,50000,NS,high risk,Online
190,T20,2024,35,F,50000,NS,high risk,Online
191,T20,2024,36,F,50000,NS,high risk,Online
192,T20,2024,37,F,50000,NS,high risk,Online
193,T20,2024,38,F,50000,NS,high risk,Online
194,T20,2024,39,F,50000,NS,high risk,Online
195,T20,2024,40,F,50000,NS,high risk,Online
196,T20,2024,41,F,50000,NS,high risk,Online
197,T20,2024,42,F,50000,NS,high risk,Online
198,T20,2024,43,F,50000,NS,high risk,Online
199,T20,2024,44,F,50000,NS,high risk,Online
200,T20,2024,45,F,50000,NS,high risk,Online
201,T20,2024,46,F,50000,NS,high risk,Online
202,T20,2024,47,F,50000,NS,high risk,Online
203,T20,2024,48,F,50000,NS,high risk,Online
204,T20,2024,49,F,50000,NS,high risk,Online
205,T20,2024,50,F,50000,NS,high risk,Online
206,T20,2024,51,F,50000,NS,high risk,Online
207,T20,2024,52,F,50000,NS,high risk,Telemarketer
208,T20,2024,53,F,50000,NS,high risk,Telemarketer
209,T20,2024,54,F,50000,NS,high risk,Telemarketer
210,T20,2024,55,F,50000,NS,high risk,Telemarketer
211,T20,2024,26,F,50000,NS,high risk,Telemarketer
212,T20,2024,27,F,50000,NS,high risk,Telemarketer
213,T20,2024,28,F,50000,NS,high risk,Telemarketer
214,T20,2024,29,F,50000,NS,high risk,Telemarketer
215,T20,2024,30,F,50000,NS,high risk,Telemarketer
216,T20,2024,31,F,50000,NS,high risk,Telemarketer
217,T20,2024,32,F,50000,NS,high risk,Telemarketer
218,T20,2024,33,F,50000,NS,high risk,Telemarketer
219,T20,2024,34,F,50000,NS,high risk,Telemarketer
220,T20,2024,35,F,50000,NS,high risk,Telemarketer
221,T20,2024,36,F,50000,NS,high risk,Telemarketer
222,T20,2024,37,F,50000,NS,high risk,Telemarketer
223,T20,2024,38,F,50000,NS,high risk,Telemarketer
224,T20,2024,39,F,50000,NS,high risk,Telemarketer
225,T20,2024,40,F,50000,NS,high risk,Telemarketer
226,T20,2024,41,F,50000,NS,high risk,Telemarketer
227,T20,2024,42,F,50000,NS,high risk,Telemarketer
228,T20,2024,43,F,50000,NS,high risk,Telemarketer
229,T20,2024,44,F,50000,NS,high risk,Telemarketer
230,T20,2024,45,F,50000,NS,high risk,Telemarketer
231,T20,2024,46,F,50000,NS,high risk,Telemarketer
232,T20,2024,47,F,50000,NS,high risk,Telemarketer
233,T20,2024,48,F,50000,NS,high risk,Telemarketer
234,T20,2024,49,F,50000,NS,high risk,Telemarketer
235,T20,2024,50,F,50000,NS,high risk,Telemarketer
236,T20,2024,51,F,50000,NS,high risk,Telemarketer
237,T20,2024,52,F,50000,NS,high risk,Telemarketer
238,T20,2024,53,F,50000,NS,high risk,Telemarketer
239,T20,2024,54,F,50000,NS,high risk,Telemarketer
240,T20,2024,55,F,50000,NS,high risk,Telemarketer
241,T20,2024,26,F,50000,NS,high risk,Telemarketer
242,T20,2024,27,F,50000,NS,high risk,Telemarketer
243,T20,2024,28,F,50000,NS,high risk,Telemarketer
244,T20,2024,29,F,50000,NS,high risk,Telemarketer
245,T20,2024,30,F,50000,NS,high risk,Telemarketer
246,T20,2024,31,F,50000,NS,high risk,Telemarketer
247,T20,2024,32,F,50000,NS,high risk,Telemarketer
248,T20,2024,33,F,50000,NS,high risk,Telemarketer
249,T20,2024,34,F,50000,NS,high risk,Telemarketer
250,T20,2024,35,F,50000,NS,high risk,Telemarketer
251,T20,2024,36,F,50000,NS,high risk,Telemarketer
252,T20,2024,37,F,50000,NS,high risk,Telemarketer
253,T20,2024,38,F,50000,NS,high risk,Telemarketer
254,T20,2024,39,F,50000,NS,high risk,Telemarketer
255,T20,2024,40,F,50000,NS,high risk,Telemarketer
256,T20,2024,41,F,50000,NS,high risk,Telemarketer
257,T20,2024,42,F,50000,NS,high risk,Telemarketer
258,T20,2024,43,F,50000,NS,high risk,Telemarketer
259,T20,2024,44,F,50000,NS,high risk,Telemarketer
260,T20,2024,45,F,50000,NS,high risk,Telemarketer
261,T20,2024,46,F,50000,NS,high risk,Telemarketer
262,T20,2024,47,F,50000,NS,high risk,Telemarketer
263,T20,2024,48,F,50000,NS,high risk,Telemarketer
264,T20,2024,49,F,50000,NS,high risk,Telemarketer
265,T20,2024,50,F,50000,NS,high risk,Telemarketer
266,T20,2024,51,F,50000,NS,high risk,Telemarketer
267,T20,2024,52,F,50000,NS,high risk,Telemarketer
268,T20,2024,53,F,50000,NS,high risk,Telemarketer
269,T20,2024,54,F,50000,NS,high risk,Telemarketer
270,T20,2024,55,F,50000,NS,high risk,Telemarketer
271,T20,2024,26,F,50000,NS,high risk,Telemarketer
272,T20,2024,27,F,50000,NS,high risk,Telemarketer
273,T20,2024,28,F,50000,NS,high risk,Telemarketer
274,T20,2024,29,F,50000,NS,high risk,Telemarketer
275,T20,2024,30,F,50000,NS,high risk,Telemarketer
276,T20,2024,31,F,50000,NS,high risk,Telemarketer
277,T20,2024,32,F,50000,NS,high risk,Telemarketer
278,T20,2024,33,F,50000,NS,high risk,Telemarketer
279,T20,2024,34,F,50000,NS,high risk,Telemarketer
280,T20,2024,35,F,50000,NS,high risk,Telemarketer
281,T20,2024,36,F,50000,NS,high risk,Telemarketer
282,T20,2024,37,F,50000,NS,high risk,Telemarketer
283,T20,2024,38,F,50000,NS,high risk,Telemarketer
284,T20,2024,39,F,50000,NS,high risk,Telemarketer
285,T20,2024,40,F,50000,NS,high risk,Telemarketer
286,T20,2024,41,F,50000,NS,high risk,Telemarketer
287,T20,2024,42,F,50000,NS,high risk,Telemarketer
288,T20,2024,43,F,50000,NS,high risk,Telemarketer
289,T20,2024,44,F,50000,NS,high risk,Telemarketer
290,T20,2024,45,F,50000,NS,high risk,Telemarketer
291,T20,2024,46,F,50000,NS,high risk,Telemarketer
292,T20,2024,47,F,50000,NS,high risk,Telemarketer
293,T20,2024,48,F,50000,NS,high risk,Telemarketer
294,T20,2024,49,F,50000,NS,high risk,Telemarketer
295,T20,2024,50,F,50000,NS,high risk,Telemarketer
296,T20,2024,51,F,50000,NS,high risk,Telemarketer
297,T20,2024,52,F,50000,NS,high risk,Telemarketer
298,T20,2024,53,F,50000,NS,high risk,Telemarketer
299,T20,2024,54,F,50000,NS,high risk,Telemarketer
300,T20,2024,55,F,50000,NS,high risk,Telemarketer
301,T20,2024,26,F,50000,NS,high risk,Telemarketer
302,T20,2024,27,F,50000,NS,high risk,Telemarketer
303,T20,2024,28,F,50000,NS,high risk,Telemarketer
304,T20,2024,29,F,50000,NS,high risk,Telemarketer
305,T20,2024,30,F,50000,NS,high risk,Telemarketer
306,T20,2024,31,F,50000,NS,high risk,Telemarketer
307,T20,2024,32,F,50000,NS,high risk,Telemarketer
308,T20,2024,33,F,50000,NS,high risk,Telemarketer
309,T20,2024,34,F,50000,NS,high risk,Telemarketer
310,T20,2024,35,F,50000,NS,high risk,Telemarketer
311,T20,2024,36,F,50000,NS,high risk,Telemarketer
312,T20,2024,37,F,50000,NS,high risk,Telemarketer
313,T20,2024,38,F,50000,NS,high risk,Telemarketer
314,T20,2024,39,F,50000,NS,high risk,Telemarketer
315,T20,2024,40,F,50000,NS,high risk,Telemarketer
316,T20,2024,41,F,50000,NS,high risk,Telemarketer
317,T20,2024,42,F,50000,NS,high risk,Telemarketer
318,T20,2024,43,F,50000,NS,low risk,Agent
319,T20,2024,44,F,50000,NS,low risk,Agent
320,T20,2024,45,F,50000,NS,low risk,Agent
321,T20,2024,46,F,50000,NS,low risk,Agent
322,T20,2024,47,F,50000,NS,low risk,Agent
323,T20,2024,48,F,50000,NS,low risk,Agent
324,T20,2024,49,F,50000,NS,low risk,Agent
325,T20,2024,50,F,50000,NS,low risk,Agent
326,T20,2024,51,F,50000,NS,low risk,Agent
327,T20,2024,52,F,50000,NS,low risk,Agent
328,T20,2024,53,F,50000,NS,low risk,Agent
329,T20,2024,54,F,50000,NS,low risk,Agent
330,T20,2024,55,F,50000,NS,low risk,Agent
331,T20,2024,26,F,50000,NS,low risk,Agent
332,T20,2024,27,F,50000,NS,low risk,Agent
333,T20,2024,28,F,50000,NS,low risk,Agent
334,T20,2024,29,F,50000,NS,low risk,Agent
335,T20,2024,30,F,50000,NS,low risk,Agent
336,T20,2024,31,F,50000,NS,low risk,Agent
337,T20,2024,32,F,50000,NS,low risk,Agent
338,T20,2024,33,F,50000,NS,low risk,Agent
339,T20,2024,34,F,50000,NS,low risk,Agent
340,T20,2024,35,F,50000,NS,low risk,Agent
341,T20,2024,36,F,50000,NS,low risk,Agent
342,T20,2024,37,F,50000,NS,low risk,Agent
343,T20,2024,38,F,50000,NS,low risk,Agent
344,T20,2024,39,F,50000,NS,low risk,Agent
345,T20,2024,40,F,50000,NS,low risk,Agent
346,T20,2024,41,F,50000,NS,low risk,Agent
347,T20,2024,42,F,50000,NS,low risk,Agent
348,T20,2024,43,F,50000,NS,low risk,Agent
349,T20,2024,44,F,50000,NS,low risk,Agent
350,T20,2024,45,F,50000,NS,low risk,Agent
351,T20,2024,46,F,50000,NS,low risk,Agent
352,T20,2024,47,F,50000,NS,low risk,Agent
353,T20,2024,48,F,50000,NS,low risk,Agent
354,T20,2024,49,F,50000,NS,low risk,Agent
355,T20,2024,50,F,50000,NS,low risk,Agent
356,T20,2024,51,F,50000,NS,low risk,Agent
357,T20,2024,52,F,50000,NS,low risk,Agent
358,T20,2024,53,F,50000,NS,low risk,Agent
359,T20,2024,54,F,50000,NS,low risk,Agent
360,T20,2024,55,F,50000,NS,low risk,Agent
361,T20,2024,26,F,50000,NS,low risk,Agent
362,T20,2024,27,F,50000,NS,low risk,Agent
363,T20,2024,28,F,50000,NS,low risk,Agent
364,T20,2024,29,F,50000,NS,low risk,Agent
365,T20,2024,30,F,50000,NS,low risk,Agent
366,T20,2024,31,F,50000,NS,low risk,Agent
367,T20,2024,32,F,50000,NS,low risk,Agent
368,T20,2024,33,F,50000,NS,low risk,Agent
369,T20,2024,34,F,50000,NS,low risk,Agent
370,T20,2024,35,F,50000,NS,low risk,Agent
371,T20,2024,36,F,50000,NS,low risk,Agent
372,T20,2024,37,F,50000,NS,low risk,Agent
373,T20,2024,38,F,50000,NS,low risk,Agent
374,T20,2024,39,F,50000,NS,low risk,Agent
375,T20,2024,40,F,50000,NS,low risk,Agent
376,T20,2024,41,F,50000,NS,low risk,Agent
377,T20,2024,42,F,50000,NS,low risk,Agent
378,T20,2024,43,F,50000,NS,low risk,Agent
379,T20,2024,44,F,50000,NS,low risk,Agent
380,T20,2024,45,F,50000,NS,low risk,Agent
381,T20,2024,46,F,50000,NS,low risk,Agent
382,T20,2024,47,F,50000,NS,low risk,Agent
383,T20,2024,48,F,50000,NS,low risk,Agent
384,T20,2024,49,F,50000,NS,low risk,Agent
385,T20,2024,50,F,50000,NS,low risk,Agent
386,T20,2024,51,F,50000,NS,low risk,Agent
387,T20,2024,52,F,50000,NS,low risk,Agent
388,T20,2024,53,F,50000,NS,low risk,Agent
389,T20,2024,54,F,50000,NS,low risk,Agent
390,T20,2024,55,F,50000,NS,low risk,Agent
391,T20,2024,26,F,50000,NS,low risk,Agent
392,T20,2024,27,F,50000,NS,low risk,Agent
393,T20,2024,28,F,50000,NS,low risk,Agent
394,T20,2024,29,F,50000,NS,low risk,Agent
395,T20,2024,30,F,50000,NS,low risk,Agent
396,T20,2024,31,F,50000,NS,low risk,Agent
397,T20,2024,32,F,50000,NS,low risk,Agent
398,T20,2024,33,F,50000,NS,low risk,Agent
399,T20,2024,34,F,50000,NS,low risk,Agent
400,T20,2024,35,F,50000,NS,low risk,Agent
401,T20,2024,36,F,50000,NS,low risk,Agent
402,T20,2024,37,F,50000,NS,low risk,Agent
403,T20,2024,38,F,50000,NS,low risk,Agent
404,T20,2024,39,F,50000,NS,low risk,Agent
405,T20,2024,40,F,50000,NS,low risk,Agent
406,T20,2024,41,F,50000,NS,low risk,Agent
407,T20,2024,42,F,50000,NS,low risk,Agent
408,T20,2024,43,F,50000,NS,low risk,Agent
409,T20,2024,44,F,50000,NS,low risk,Agent
410,T20,2024,45,F,50000,NS,low risk,Agent
411,T20,2024,46,F,50000,NS,low risk,Agent
412,T20,2024,47,F,50000,NS,low risk,Agent
413,T20,2024,48,F,50000,NS,low risk,Agent
414,T20,2024,49,F,50000,NS,low risk,Agent
415,T20,2024,50,F,50000,NS,low risk,Agent
416,T20,2024,51,F,50000,NS,low risk,Agent
417,T20,2024,52,F,50000,NS,low risk,Agent
418,T20,2024,53,F,50000,NS,low risk,Agent
419,T20,2024,54,F,50000,NS,low risk,Agent
420,T20,2024,55,F,50000,NS,low risk,Agent
421,T20,2024,26,F,50000,NS,low risk,Agent
422,T20,2024,27,F,50000,NS,low risk,Agent
423,T20,2024,28,F,50000,NS,low risk,Agent
424,T20,2024,29,F,50000,NS,low risk,Agent
425,T20,2024,30,F,50000,NS,low risk,Agent
426,T20,2024,31,F,50000,NS,low risk,Agent
