Issue.year,Issue.age,Sex,Smoker.Status,Channel
2001,26,M,NS,Telemarketer
2001,26,M,NS,Agent
2001,26,M,NS,Online
2002,26,M,NS,Telemarketer
2002,26,M,NS,Agent
2002,26,M,NS,Online
2003,26,M,NS,Telemarketer
2003,26,M,NS,Agent
2003,26,M,NS,Online
2004,26,M,NS,Telemarketer
2004,26,M,NS,Agent
2004,26,M,NS,Online
2005,26,M,NS,Telemarketer
2005,26,M,NS,Agent
2005,26,M,NS,Online
2006,26,M,NS,Telemarketer
2006,26,M,NS,Agent
2006,26,M,NS,Online
2007,26,M,NS,Telemarketer
2007,26,M,NS,Agent
2007,26,M,NS,Online
2008,26,M,NS,Telemarketer
2008,26,M,NS,Agent
2008,26,M,NS,Online
2009,26,M,NS,Telemarketer
2009,26,M,NS,Agent
2009,26,M,NS,Online
2010,26,M,NS,Telemarketer
2010,26,M,NS,Agent
2010,26,M,NS,Online
2011,26,M,NS,Telemarketer
2011,26,M,NS,Agent
2011,26,M,NS,Online
2012,26,M,NS,Telemarketer
2012,26,M,NS,Agent
2012,26,M,NS,Online
2013,26,M,NS,Telemarketer
2013,26,M,NS,Agent
2013,26,M,NS,Online
2014,26,M,NS,Telemarketer
2014,26,M,NS,Agent
2014,26,M,NS,Online
2015,26,M,NS,Telemarketer
2015,26,M,NS,Agent
2015,26,M,NS,Online
2016,26,M,NS,Telemarketer
2016,26,M,NS,Agent
2016,26,M,NS,Online
2017,26,M,NS,Telemarketer
2017,26,M,NS,Agent
2017,26,M,NS,Online
2018,26,M,NS,Telemarketer
2018,26,M,NS,Agent
2018,26,M,NS,Online
2019,26,M,NS,Telemarketer
2019,26,M,NS,Agent
2019,26,M,NS,Online
2020,26,M,NS,Telemarketer
2020,26,M,NS,Agent
2020,26,M,NS,Online
2021,26,M,NS,Telemarketer
2021,26,M,NS,Agent
2021,26,M,NS,Online
2022,26,M,NS,Telemarketer
2022,26,M,NS,Agent
2022,26,M,NS,Online
2023,26,M,NS,Telemarketer
2023,26,M,NS,Agent
2023,26,M,NS,Online
2001,26,M,S,Telemarketer
2001,26,M,S,Agent
2001,26,M,S,Online
2002,26,M,S,Telemarketer
2002,26,M,S,Agent
2002,26,M,S,Online
2003,26,M,S,Telemarketer
2003,26,M,S,Agent
2003,26,M,S,Online
2004,26,M,S,Telemarketer
2004,26,M,S,Agent
2004,26,M,S,Online
2005,26,M,S,Telemarketer
2005,26,M,S,Agent
2005,26,M,S,Online
2006,26,M,S,Telemarketer
2006,26,M,S,Agent
2006,26,M,S,Online
2007,26,M,S,Telemarketer
2007,26,M,S,Agent
2007,26,M,S,Online
2008,26,M,S,Telemarketer
2008,26,M,S,Agent
2008,26,M,S,Online
2009,26,M,S,Telemarketer
2009,26,M,S,Agent
2009,26,M,S,Online
2010,26,M,S,Telemarketer
2010,26,M,S,Agent
2010,26,M,S,Online
2011,26,M,S,Telemarketer
2011,26,M,S,Agent
2011,26,M,S,Online
2012,26,M,S,Telemarketer
2012,26,M,S,Agent
2012,26,M,S,Online
2013,26,M,S,Telemarketer
2013,26,M,S,Agent
2013,26,M,S,Online
2014,26,M,S,Telemarketer
2014,26,M,S,Agent
2014,26,M,S,Online
2015,26,M,S,Telemarketer
2015,26,M,S,Agent
2015,26,M,S,Online
2016,26,M,S,Telemarketer
2016,26,M,S,Agent
